,0
Total_Country_Years,525
Countries_Covered,108
Year_Range,2020 to 2025
Total_Crises,578
Missing_INFORM_Mean,18
Avg_INFORM_Severity,3.0007627415319726
Std_INFORM_Severity,0.9548052407198867
Has_CERF_Funding,223
Has_CBPF_Funding,104
Has_HRP_Funding,208
Total_CERF_Allocation,3602683511.5600004
Total_CBPF_Budget,5201089610.23
Total_HRP_Requirements,209232004827.0
Avg_CERF_Per_Country_Year,16155531.441973094
Avg_CBPF_Per_Country_Year,50010477.0214423
