CRISIS ID,COUNTRY,ISO3,Improvement_Rate_Raw,Improvement_Rate_Normalized,INFORM_Start,INFORM_End,Duration_Months,Effectiveness_Score_100
JOR002,Jordan,JOR,-0.0063492063492063,0.4682539682539682,2.6,3.0,63,49.18736424796356
HUN002,Hungary,HUN,-0.0076923076923076,0.4615384615384615,1.2,1.5,39,39.94943222699212
PSE002,Palestine,PSE,-0.0079365079365079,0.4603174603174603,3.9,4.4,63,41.94136595055432
BGD001,Bangladesh,BGD,-0.0079365079365079,0.4603174603174603,2.9,3.4,63,41.65056944756591
IRN004,Iran,IRN,-0.0079365079365079,0.4603174603174603,3.4,3.9,63,47.80431291278614
RWA002,Rwanda,RWA,-0.0079365079365079,0.4603174603174603,1.9,2.4,63,47.13052356825356
KEN001,Kenya,KEN,-0.0079365079365079,0.4603174603174603,2.9,3.4,63,45.66806928132272
IDN002,Indonesia,IDN,-0.0083333333333333,0.4583333333333333,2.2,2.6,48,51.05120652979331
CHL002,Chile,CHL,-0.008695652173913,0.4565217391304348,2.2,2.6,46,48.58964261057773
PAN002,Panama,PAN,-0.008695652173913,0.4565217391304348,2.1,2.5,46,44.97390065010352
ARM002,Armenia,ARM,-0.0088888888888888,0.4555555555555556,1.7,2.1,45,38.57646320491356
MDG001,Madagascar,MDG,-0.009090909090909,0.4545454545454546,2.7,3.0,33,49.093722061015406
MEX001,Mexico,MEX,-0.009375,0.453125,2.8,3.1,32,51.06645199764176
NAM002,Namibia,NAM,-0.0095238095238095,0.4523809523809524,2.0,2.6,63,46.76182275554122
SEN002,Senegal,SEN,-0.0095238095238095,0.4523809523809524,2.4,3.0,63,44.28839988084069
MWI002,Malawi,MWI,-0.0095238095238095,0.4523809523809524,2.6,3.2,63,41.81640652922681
BRA001,Brazil,BRA,-0.0102564102564102,0.4487179487179487,2.3,2.7,39,45.51311606758215
EGY004,Egypt,EGY,-0.0103448275862069,0.4482758620689655,1.9,2.2,29,49.36142738900563
PAK001,Pakistan,PAK,-0.0107142857142857,0.4464285714285714,3.4,4.0,56,45.48253222156697
PHL001,Philippines,PHL,-0.0111111111111111,0.4444444444444445,2.4,3.1,63,41.47530026096621
UKR002,Ukraine,UKR,-0.0111111111111111,0.4444444444444445,3.5,4.2,63,39.41437107903282
IDN007,Indonesia,IDN,-0.0121212121212121,0.4393939393939394,2.1,2.5,33,45.094543822017904
SVK002,Slovakia,SVK,-0.0131578947368421,0.4342105263157895,1.2,1.7,38,41.4048755808974
BRA002,Brazil,BRA,-0.0133333333333333,0.5777777777777777,2.3,2.5,15,56.67856465823992
UGA001,Uganda,UGA,-0.0137931034482758,0.574712643678161,2.9,3.3,29,57.17650087066035
HTI001,Haiti,HTI,-0.0142857142857142,0.4285714285714286,3.5,4.4,63,40.75145474173269
CRI002,Costa Rica,CRI,-0.0142857142857142,0.4285714285714286,1.1,2.0,63,34.905166291544326
MDA002,Moldova,MDA,-0.0155555555555555,0.4222222222222223,1.4,2.1,45,39.82465424293329
BEN002,Benin,BEN,-0.0157894736842105,0.4210526315789473,1.9,2.2,19,44.3067646402735
NIC001,Nicaragua,NIC,-0.0162162162162162,0.4189189189189189,1.9,2.5,37,41.95744028701071
VUT003,Vanuatu,VUT,-0.0166666666666666,0.416666666666667,2.2,2.3,6,49.92929204145328
MMR001,Myanmar,MMR,-0.0174603174603174,0.4126984126984128,3.5,4.6,63,36.51102415827227
LBN006,Lebanon,LBN,-0.0210526315789473,0.3947368421052633,3.4,3.8,19,39.51559257877811
MEX003,Mexico,MEX,-0.0222222222222221,0.3888888888888891,2.6,2.8,9,43.16054189276973
ROU002,Romania,ROU,-0.0236842105263157,0.3815789473684212,1.0,1.9,38,34.1079876967645
VCT002,St. Vincent and the Grenadines,VCT,-0.025,0.5,1.5,1.6,4,54.57606528716183
POL002,Poland,POL,-0.0256410256410256,0.3717948717948718,1.2,2.2,39,33.71400443082953
LAO004,Laos,LAO,-0.0333333333333333,0.3333333333333333,2.0,2.1,3,45.12402885219423
TZA002,Tanzania,TZA,-0.0470588235294117,0.3529411764705885,1.7,2.5,17,28.193554301764863
PAK008,Pakistan,PAK,-0.0499999999999999,0.2500000000000004,3.7,4.0,6,32.62427513888934
LKA005,Sri Lanka,LKA,-0.0499999999999999,0.2500000000000005,1.3,1.4,2,38.83518417335504
KEN002,Kenya,KEN,-0.0499999999999999,0.3333333333333338,2.7,3.0,6,34.67198031231279
GHA001,Ghana,GHA,-0.05,0.25,2.4,2.6,4,36.35089525301126
MNG004,Mongolia,MNG,-0.0799999999999999,0.1000000000000004,1.9,2.3,5,18.085255248349323
VNM002,Vietnam,VNM,-0.0833333333333333,0.1111111111111116,2.4,2.9,6,7.777777777777814
COG004,Congo,COG,-0.1,0.0,2.0,2.2,2,0.0
