CRISIS ID,COUNTRY,ISO3,INFORM_Start,INFORM_End,Date_Start,Date_End,Duration_Months,N_Observations,Improvement_Rate_Raw,INFORM_Std,Consistency_Raw,Total_Funding,HRP_Original_Requirements,HRP_Revised_Requirements,Funding_Requested,Funding_Per_Month,Cost_Effectiveness_Raw,Improvement_Rate_Normalized,Consistency_Normalized,Cost_Effectiveness_Normalized,Effectiveness_Score_01,Effectiveness_Score_100,Is_Successful
AFG001,Afghanistan,AFG,4.6,4.5,2020-09-01,2025-12-01,63,63,0.0015873015873015817,0.09917736391722073,0.9097712824400105,187861631787.48,4627363573.0,4442200000.0,187861631787.48,2981930663.2933335,7.275914289863905e-05,0.5079365079365079,0.7233499486934751,0.49660709958872984,0.5702946584940425,57.02946584940425,True
AGO002,Angola,AGO,3.2,3.2,2021-12-01,2025-12-01,48,48,0.0,0.15755219781222032,0.8638919280616505,134571883.48,,0.0,134571883.48,2803580.9058333333,0.0,0.5,0.5826793718979579,0.4905166291544329,0.522907137400274,52.29071374002739,False
ARM002,Armenia,ARM,1.7,2.1,2021-01-01,2024-10-01,45,45,-0.008888888888888892,0.37088482788536337,0.7294558810914364,67981106.0,,0.0,67981106.0,1510691.2444444445,-0.000624742748048833,0.4555555555555556,0.11526816138478145,0.4382211088329038,0.350002447959793,35.0002447959793,False
ARM003,Armenia,ARM,2.2,2.1,2024-11-01,2025-03-01,4,5,0.025000000000000022,0.044721359549995836,0.9571930265030102,0.0,,0.0,0.0,0.0,0.0,0.625,0.8681234642627516,0.4905166291544329,0.671040365109712,67.1040365109712,True
AZE002,Azerbaijan,AZE,1.8,1.6,2022-07-01,2024-10-01,27,27,0.007407407407407406,0.24570382652773315,0.8027590336519986,23990724.0,,0.0,23990724.0,888545.3333333334,0.00054079159065404,0.537037037037037,0.35498371388997857,0.5357848258755412,0.48217059786062033,48.21705978606203,False
BDI001,Burundi,BDI,3.3,3.2,2020-09-01,2025-07-01,58,58,0.0017241379310344767,0.22243360585557684,0.8180403379045715,8474033639.809999,194684000.0,237180119.0,8474033639.809999,146104028.2725862,9.171029636956673e-05,0.5086206896551724,0.43943222515479063,0.4981934492255212,0.48577870221912767,48.57787022191277,False
BDI005,Burundi,BDI,3.4,3.4,2025-08-01,2025-12-01,4,5,0.0,0.044721359549995836,0.9571930265030102,29995658.75,,0.0,29995658.75,7498914.6875,0.0,0.5,0.8687496427471039,0.4905166291544329,0.6087282186550177,60.87282186550177,True
BEN002,Benin,BEN,1.9,2.2,2024-05-01,2025-12-01,19,31,-0.01578947368421054,0.19652902053889776,0.8357507280096023,0.0,,0.0,0.0,0.0,0.0,0.42105263157894735,0.4963957069101429,0.4905166291544329,0.45754835369340313,45.75483536934031,False
BFA002,Burkina Faso,BFA,3.9,4.0,2020-09-01,2025-12-01,63,60,-0.0015873015873015888,0.14197954814125688,0.8756724248062498,49381910570.78,934604385.0,934604385.0,49381910570.78,783839850.3298413,-7.750603780963182e-05,0.49206349206349204,0.6187995242944822,0.48402880902691064,0.5284773651254728,52.847736512547286,False
BFA004,Burkina Faso,BFA,3.8,3.8,2020-10-01,2021-01-01,3,4,0.0,0.05773502691896263,0.9454163609508736,1962978734.0,607875894.0,607875894.0,1962978734.0,654326244.6666666,0.0,0.6666666666666666,1.0,0.6452544534858176,0.7623842240304968,76.23842240304968,True
BGD001,Bangladesh,BGD,2.9,3.4,2020-09-01,2025-12-01,63,32,-0.007936507936507936,0.32797951843999196,0.7530236619723797,31356182279.19,970135849.0,1264027556.0,31356182279.19,497717179.0347619,-0.0003963192463775081,0.46031746031746035,0.24274645107959641,0.4573418203751751,0.3944510295576441,39.44510295576441,False
BGD002,Bangladesh,BGD,3.3,3.3,2020-12-01,2023-08-01,32,22,0.0,0.10064725594803921,0.908556301390724,20815155992.0,943123350.0,1264027556.0,20815155992.0,650473624.75,0.0,0.5,0.7009613370021038,0.4905166291544329,0.5583917269315177,55.839172693151774,False
BGD010,Bangladesh,BGD,4.1,3.9,2023-10-01,2024-03-01,5,6,0.039999999999999945,0.0816496580927725,0.9245137670206988,5587799747.73,905248098.0,951060075.0,5587799747.73,1117559949.546,0.0019199004542334492,0.6999999999999996,0.7531453503282937,0.6512262869027615,0.7061888624790402,70.61888624790402,True
BGR002,Bulgaria,BGR,1.5,1.5,2023-11-01,2025-05-01,18,19,0.0,0.101162829777814,0.9081309075804657,0.0,,0.0,0.0,0.0,0.0,0.5,0.7169765423742172,0.4905166291544329,0.5631962885431517,56.31962885431518,False
BLR002,Belarus,BLR,1.8,1.7,2023-11-01,2025-12-01,25,26,0.0040000000000000036,0.11668498024760776,0.895507701534828,0.0,,0.0,0.0,0.0,0.0,0.52,0.6796164179956685,0.4905166291544329,0.5619882512295871,56.19882512295871,False
BOL002,Bolivia,BOL,2.9,2.9,2025-05-01,2025-09-01,4,5,0.0,0.0,1.0,4999986.4,,0.0,4999986.4,1249996.6,0.0,0.5,1.0,0.4905166291544329,0.6481033258308866,64.81033258308867,True
BRA001,Brazil,BRA,2.3,2.7,2022-01-01,2025-04-01,39,39,-0.010256410256410265,0.21259275978139747,0.8246791776822723,0.0,,0.0,0.0,0.0,0.0,0.44871794871794873,0.4598846682890707,0.4905166291544329,0.4604277006765822,46.04277006765822,False
BRA002,Brazil,BRA,2.3,2.5,2020-09-01,2021-12-01,15,16,-0.013333333333333345,0.12093386622447835,0.892113290651297,0.0,,0.0,0.0,0.0,0.0,0.5777777777777777,0.48843818768198893,0.6465356460155698,0.5647274743965995,56.472747439659955,True
