Model,R2,MAE,RMSE,CV_R2_Mean,CV_R2_Std
Random Forest,0.7094768889876208,120854528.31091508,221546888.67286327,0.47574690127400177,0.25344295923594196
Gradient Boosting,0.7367340112678475,123359897.091925,219059497.88146165,0.4758895900562961,0.24639991378642612
Ridge Regression,0.562703736448043,174353693.7828526,308916077.0928203,,
